BEGIN DEBUGGING
Radar NIS: 1.71121
Lidar NIS: 0.750624
Radar NIS: 2.57812
Lidar NIS: 1.02713
Radar NIS: 1.97987
Lidar NIS: 1.22186
Radar NIS: 5.6317
Lidar NIS: 0.0311334
Radar NIS: 2.34655
Lidar NIS: 1.61872
Radar NIS: 0.736655
Lidar NIS: 6.99315
Radar NIS: 3.69493
Lidar NIS: 2.52358
Radar NIS: 1.4373
Lidar NIS: 0.705815
Radar NIS: 0.818474
Lidar NIS: 1.93884
Radar NIS: 2.04669
Lidar NIS: 3.46602
Radar NIS: 3.55113
Lidar NIS: 4.99321
Radar NIS: 0.32212
Lidar NIS: 2.98545
Radar NIS: 1.88959
Lidar NIS: 0.216057
Radar NIS: 1.24065
Lidar NIS: 0.614321
Radar NIS: 6.32566
Lidar NIS: 0.591422
Radar NIS: 0.240743
Lidar NIS: 0.415168
Radar NIS: 11.0138
Lidar NIS: 1.5629
Radar NIS: 3.64608
Lidar NIS: 4.37459
Radar NIS: 0.682213
Lidar NIS: 1.60856
Radar NIS: 1.34251
Lidar NIS: 5.19741
Radar NIS: 1.02994
Lidar NIS: 0.753398
Radar NIS: 2.10265
Lidar NIS: 1.39797
Radar NIS: 1.59258
Lidar NIS: 0.0145526
Radar NIS: 5.0363
Lidar NIS: 0.790072
Radar NIS: 2.32719
Lidar NIS: 2.54865
Radar NIS: 2.75793
Lidar NIS: 1.01411
Radar NIS: 1.86457
Lidar NIS: 2.4285
Radar NIS: 6.98803
Lidar NIS: 0.403293
Radar NIS: 8.89055
Lidar NIS: 0.575641
Radar NIS: 0.193699
Lidar NIS: 0.677414
Radar NIS: 0.904142
Lidar NIS: 0.327218
Radar NIS: 2.63871
Lidar NIS: 1.56629
Radar NIS: 2.18045
Lidar NIS: 0.279531
Radar NIS: 1.09828
Lidar NIS: 3.65928
Radar NIS: 0.543519
Lidar NIS: 2.15443
Radar NIS: 8.906
Lidar NIS: 0.410736
Radar NIS: 2.29067
Lidar NIS: 1.02091
Radar NIS: 0.832154
Lidar NIS: 1.19957
Radar NIS: 3.20672
Lidar NIS: 0.0814932
Radar NIS: 4.30221
Lidar NIS: 0.0447871
Radar NIS: 1.52009
Lidar NIS: 4.77433
Radar NIS: 5.45668
Lidar NIS: 1.04011
Radar NIS: 1.45381
Lidar NIS: 0.328193
Radar NIS: 2.09445
Lidar NIS: 2.16824
Radar NIS: 5.94364
Lidar NIS: 0.074303
Radar NIS: 1.67136
Lidar NIS: 4.14008
Radar NIS: 5.61622
Lidar NIS: 3.43464
Radar NIS: 4.81966
Lidar NIS: 1.66625
Radar NIS: 1.87461
Lidar NIS: 0.508719
Radar NIS: 1.05988
Lidar NIS: 0.393293
Radar NIS: 4.93526
Lidar NIS: 6.44251
Radar NIS: 1.59049
Lidar NIS: 0.994022
Radar NIS: 4.84395
Lidar NIS: 2.88598
Radar NIS: 3.31206
Lidar NIS: 0.68119
Radar NIS: 0.427293
Lidar NIS: 0.83669
Radar NIS: 0.0321644
Lidar NIS: 1.29759
Radar NIS: 0.438439
Lidar NIS: 1.23509
Radar NIS: 0.249431
Lidar NIS: 1.84609
Radar NIS: 7.68386
Lidar NIS: 0.202552
Radar NIS: 6.27271
Lidar NIS: 2.05493
Radar NIS: 0.554593
Lidar NIS: 8.05546
Radar NIS: 1.88945
Lidar NIS: 0.397229
Radar NIS: 0.290375
Lidar NIS: 4.38965
Radar NIS: 1.54701
Lidar NIS: 1.40061
Radar NIS: 0.586066
Lidar NIS: 2.49649
Radar NIS: 2.85541
Lidar NIS: 0.590465
Radar NIS: 8.0114
Lidar NIS: 2.62779
Radar NIS: 0.394853
Lidar NIS: 1.09778
Radar NIS: 6.20696
Lidar NIS: 2.32825
Radar NIS: 3.65189
Lidar NIS: 0.978298
Radar NIS: 2.35666
Lidar NIS: 1.4335
Radar NIS: 6.02568
Lidar NIS: 3.48826
Radar NIS: 1.55552
Lidar NIS: 7.49904
Radar NIS: 2.20367
Lidar NIS: 0.882918
